NumFiles,MinPT,MinP,MinIPChi2,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis
10,50,800,6,4.1436273907163805,4.127945828742047,1.9108527131782946,1.865612648221344,1.8669950738916257
10,50,1600,6,4.124027467992062,4.108111470515054,1.9031007751937985,1.7055335968379446,1.5763546798029557
10,50,1400,6,4.141238869667539,4.125528738492163,1.9069767441860466,1.7490118577075098,1.6650246305418719
10,50,1800,6,4.11928555120392,4.103312835460136,1.9031007751937985,1.6620553359683794,1.5073891625615763
10,50,2200,6,4.085758443246281,4.069384708349625,1.8875968992248062,1.5494071146245059,1.3201970443349753
10,50,1200,6,4.1436273907163805,4.127945828742047,1.9069767441860466,1.7885375494071147,1.7192118226600985
10,50,2000,6,4.114666572999175,4.098638609462197,1.8992248062015504,1.6106719367588933,1.4285714285714286
10,50,1000,6,4.1436273907163805,4.127945828742047,1.9069767441860466,1.83201581027668,1.7881773399014778
10,100,800,6,4.137287272344087,4.121529875946398,1.9031007751937985,1.7707509881422925,1.70935960591133
10,100,1000,6,4.137287272344087,4.121529875946398,1.9031007751937985,1.7450592885375493,1.6502463054187193
10,100,2000,6,4.108326454626882,4.092222656666548,1.8953488372093024,1.5612648221343874,1.354679802955665
10,100,1200,6,4.137287272344087,4.121529875946398,1.9031007751937985,1.709486166007905,1.5911330049261083
10,100,1800,6,4.112945432831626,4.0968968826644865,1.8992248062015504,1.6047430830039526,1.4137931034482758
10,100,1600,6,4.117687349619769,4.1016955177194045,1.8992248062015504,1.6422924901185771,1.477832512315271
10,100,1400,6,4.134898751295246,4.119112785696513,1.9031007751937985,1.6758893280632412,1.541871921182266
10,100,2200,6,4.079418324873988,4.0629687555539755,1.8837209302325582,1.5098814229249011,1.2610837438423645
10,150,1000,6,4.102829343683592,4.086659794547328,1.87984496124031,1.608695652173913,1.3940886699507389
10,150,800,6,4.102829343683592,4.086659794547328,1.87984496124031,1.6185770750988142,1.4137931034482758
10,150,1400,6,4.1004408226347495,4.084242704297444,1.87984496124031,1.5632411067193677,1.3399014778325122
10,150,1200,6,4.102829343683592,4.086659794547328,1.87984496124031,1.5869565217391304,1.3645320197044335
10,150,1600,6,4.083229420959272,4.066825436320335,1.87984496124031,1.533596837944664,1.29064039408867
10,150,2200,6,4.044960396213492,4.028098674154907,1.8643410852713178,1.4308300395256917,1.1280788177339902
10,150,2000,6,4.073868525966385,4.05735257526748,1.875968992248062,1.4723320158102766,1.2019704433497538
10,150,1800,6,4.078487504171131,4.062026801265418,1.87984496124031,1.5,1.2364532019704433
10,200,1400,6,4.043414882593653,4.020385312622188,1.8565891472868217,1.4308300395256917,1.0886699507389161
10,200,1200,6,4.045803403642495,4.022802402872072,1.8565891472868217,1.4466403162055337,1.0985221674876848
10,200,1000,6,4.045803403642495,4.022802402872072,1.8565891472868217,1.4565217391304348,1.103448275862069
10,200,800,6,4.045803403642495,4.022802402872072,1.8565891472868217,1.4604743083003953,1.1083743842364533
10,200,2200,6,4.009887774636014,3.986457185511677,1.8410852713178294,1.3339920948616601,0.9507389162561576
10,200,2000,6,4.038795904388907,4.015711086624249,1.8527131782945736,1.365612648221344,1.0049261083743843
10,250,800,6,3.8922882382901,3.864056446166424,1.802325581395349,1.2786561264822134,0.8029556650246306
10,200,1800,6,4.043414882593653,4.020385312622188,1.8565891472868217,1.391304347826087,1.0394088669950738
10,200,1600,6,4.043414882593653,4.020385312622188,1.8565891472868217,1.41699604743083,1.0689655172413792
10,250,1000,6,3.8922882382901,3.864056446166424,1.802325581395349,1.2786561264822134,0.8029556650246306
10,250,1400,6,3.8922882382901,3.864056446166424,1.802325581395349,1.2707509881422925,0.8029556650246306
10,250,1200,6,3.8922882382901,3.864056446166424,1.802325581395349,1.2766798418972332,0.8029556650246306
10,250,2200,6,3.85540666327122,3.830128319055913,1.7906976744186047,1.199604743083004,0.7389162561576355
10,300,800,6,3.7570557965542073,3.733355845448406,1.744186046511628,1.1185770750988142,0.6354679802955665
10,250,1600,6,3.8922882382901,3.864056446166424,1.802325581395349,1.2588932806324111,0.7881773399014779
10,250,1800,6,3.8922882382901,3.864056446166424,1.802325581395349,1.2411067193675889,0.7832512315270936
10,250,2000,6,3.8843147930241133,3.8593822201684853,1.7984496124031009,1.2233201581027668,0.7635467980295566
10,300,1000,6,3.7570557965542073,3.733355845448406,1.744186046511628,1.1185770750988142,0.6354679802955665
10,300,1400,6,3.7570557965542073,3.733355845448406,1.744186046511628,1.1185770750988142,0.6354679802955665
10,300,1200,6,3.7570557965542073,3.733355845448406,1.744186046511628,1.1185770750988142,0.6354679802955665
10,300,1800,6,3.7570557965542073,3.733355845448406,1.744186046511628,1.098814229249012,0.625615763546798
10,300,1600,6,3.7570557965542073,3.733355845448406,1.744186046511628,1.1126482213438735,0.6305418719211823
10,300,2000,6,3.7490823512882208,3.7286816194504673,1.7403100775193798,1.0889328063241106,0.6206896551724138
10,300,2200,6,3.720174221535327,3.699427718337895,1.7403100775193798,1.0691699604743083,0.6059113300492611
