cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,2017,65081686,1.0,0.4034,3.099086110696559e-05
lambdac_mass_limit,8,31693977,2004,857071,0.9960238568588469,0.4008,0.0023327416116171464
lambdac_vtx_chi2_ndof,26,788673,1978,68398,0.9870259481037924,0.3956,0.028106172558826872
lambdac_vtx_chi2_distance,36,967,1942,67431,0.9817997977755308,0.3884,0.027993599815490176
lambdac_vtx_dira,103,32806,1839,34625,0.946961894953656,0.3678,0.050433304080737165
lambdac_final_mass_cut,16,27634,1823,6991,0.9912996193583469,0.3646,0.20683004311322895
xi_track_cuts,0,0,842,3373377,1.0,0.1684,0.0002495392267069802
xi_mass,0,1632427,842,107878,1.0,0.1684,0.007744665194996321
xi_vtx_chi2_ndof,70,76879,772,30999,0.9168646080760094,0.1544,0.024298888923861384
xi_vtx_chi2_distance,22,386,750,30613,0.9715025906735751,0.15,0.023913528680292066
xi_vtx_dira,0,0,750,30613,1.0,0.15,0.023913528680292066
xi_final_mass,0,26130,750,19045,1.0,0.15,0.03788835564536499
