Variable,Value
lambdac_signal_combined_momentum_kills,5886.0
lambdac_bkg_combined_momentum_kills,69028224.0
lambdac_signal_combined_momentum_remaining,22395.0
lambdac_bkg_combined_momentum_remaining,47522517.0
lambdac_combined_momentum_purity,0.00047102831949719093
lambdac_signal_charge_kills,102.0
lambdac_bkg_charge_kills,23718187.0
lambdac_sig_charge_remaining,22293.0
lambdac_bkg_charge_remaining,23804330.0
lambdac_charge_efficiency,0.9954454119223041
lambdac_charge_purity,0.0009356340594300905
lambdac_mass_limit_signal_kills,83.0
lambdac_mass_limit_bkg_kills,22822600.0
lambdac_mass_limit_signal_remaining,22210.0
lambdac_mass_limit_bkg_remaining,981730.0
lambdac_mass_limit_efficiency,0.9962768582066119
lambdac_mass_limit_purity,0.022122836026057358
lambdac_vtx_chi2_ndof_signal_kills,395.0
lambdac_vtx_chi2_ndof_bkg_kills,893863.0
lambdac_vtx_chi2_ndof_signal_remaining,21815.0
lambdac_vtx_chi2_ndof_bkg_remaining,87867.0
lambdac_vtx_chi2_ndof_efficiency,0.9822152183701035
lambdac_vtx_chi2_ndof_purity,0.19889316387374412
lambdac_vtx_chi2_distance_sig_kills,32.0
lambdac_vtx_chi2_distance_bkg_kills,821.0
lambdac_vtx_chi2_distance_sig_remaining,21783.0
lambdac_vtx_chi2_distance_bkg_remaining,87046.0
lambdac_vtx_chi2_distance_efficiency,0.9985331194132477
lambdac_vtx_chi2_distance_purity,0.20015804610903343
lambdac_vtx_dira_sig_kills,234.0
lambdac_vtx_dira_bkg_kills,31132.0
lambdac_vtx_dira_sig_remaining,21549.0
lambdac_vtx_dira_bkg_remaining,55914.0
lambdac_vtx_dira_efficiency,0.9892576780057843
lambdac_vtx_dira_purity,0.2781844235312343
lambdac_final_mass_cut_signal_kills,186.0
lambdac_final_mass_cut_bkg_kills,51045.0
lambdac_final_mass_cut_signal_remaining,21363.0
lambdac_final_mass_cut_bkg_remaining,4869.0
lambdac_final_mass_cut_efficiency,0.991368508979535
lambdac_final_mass_cut_purity,0.8143870082342177
xiccpp_miss_combo_sig_kills,0.0
xiccpp_miss_combo_bkg_kills,0.0
xiccpp_miss_combo_sig_remaining,9936.0
xiccpp_miss_combo_bkg_remaining,55049426.0
xiccpp_miss_combo_efficiency,0.4651032158404718
xiccpp_miss_combo_purity,0.00018045977358038812
xi_charge_conservation_signal_kills,0.0
xi_charge_conservation_bkg_kills,0.0
xi_charge_conservation_signal_remaining,9936.0
xi_charge_conservation_bkg_remaining,55049426.0
xi_charge_conservation_efficiency,1.0
xi_charge_conservation_purity,0.00018045977358038812
xi_charge_sig_kills,2.0
xi_charge_bkg_kills,26146250.0
xi_charge_sig_remaining,9934.0
xi_charge_bkg_remaining,28903176.0
xi_charge_efficiency,0.9997987117552335
xi_charge_purity,0.0003435811643922593
xi_signal_minimum_momentum_kills,2454.0
xi_bkg_minimum_momentum_kills,9528414.0
xi_sig_minimum_momentum_remaining,7480.0
xi_bkg_minimum_momentum_remaining,19374762.0
xi_minimum_momentum_efficiency,0.7529695993557479
xi_minimum_momentum_purity,0.00038592026660277945
xi_mass_sig_kills,2.0
xi_mass_bkg_kills,19125486.0
xi_mass_sig_remaining,7478.0
xi_mass_bkg_remaining,249276.0
xi_mass_efficiency,0.9997326203208556
xi_mass_purity,0.029125154817451704
xi_vtx_chi2_ndof_sig_kills,10.0
xi_vtx_chi2_ndof_bkg_kills,65602.0
xi_vtx_chi2_ndof_sig_remaining,7468.0
xi_vtx_chi2_ndof_bkg_remaining,183674.0
xi_vtx_chi2_ndof_efficiency,0.9986627440492111
xi_vtx_chi2_ndof_purity,0.0390704293143318
xi_vtx_chi2_distance_sig_kills,10.0
xi_chi2_disatance_bkg_kills,813.0
xi_vtx_chi2_distance_sig_remaining,7458.0
xi_chi2_disatance_bkg_remaining,182861.0
xi_vtx_chi2_distance_efficiency,0.9986609534011783
xi_vtx_chi2_distance_purity,0.039186838938834234
xi_vtx_dira_sig_kills,70.0
xi_vtx_dira_bkg_kills,13556.0
xi_vtx_dira_sig_remaining,7388.0
xi_vtx_dira_bkg_remaining,169305.0
xi_vtx_dira_efficiency,0.9906141056583534
xi_vtx_dira_purity,0.04181263547508951
